"Syllable1","Syllable2","time","f0_norm","speaker","pitch_con","syl","tone","prev"
"2","4",28,-3.26369169,"s3","_HLBD1_s3_1","1","2","none"
"2","4",29,-2.69082219000001,"s3","_HLBD1_s3_1","1","2","none"
"2","4",30,-2.03999339000001,"s3","_HLBD1_s3_1","1","2","none"
"2","4",1,7.39146290666667,"s1","_HLBD2_s1_1","1","2","none"
"2","4",2,7.04711730666666,"s1","_HLBD2_s1_1","1","2","none"
"2","4",3,6.59200480666667,"s1","_HLBD2_s1_1","1","2","none"
"2","4",4,6.12209080666666,"s1","_HLBD2_s1_1","1","2","none"
"2","4",5,5.55065830666666,"s1","_HLBD2_s1_1","1","2","none"
"2","4",6,4.61332530666667,"s1","_HLBD2_s1_1","1","2","none"
"2","4",7,3.53745350666667,"s1","_HLBD2_s1_1","1","2","none"
"2","4",8,2.39865160666666,"s1","_HLBD2_s1_1","1","2","none"
"2","4",9,1.28445850666667,"s1","_HLBD2_s1_1","1","2","none"
"2","4",10,0.235362906666666,"s1","_HLBD2_s1_1","1","2","none"
"2","4",11,-0.752355793333336,"s1","_HLBD2_s1_1","1","2","none"
"2","4",12,-1.61274139333334,"s1","_HLBD2_s1_1","1","2","none"
"2","4",13,-2.33168749333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",14,-2.93073019333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",15,-3.41215309333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",16,-3.76168219333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",17,-3.92988159333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",18,-3.97504739333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",19,-3.90744679333334,"s1","_HLBD2_s1_1","1","2","none"
"2","4",20,-3.73528319333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",21,-3.46655379333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",22,-3.09756129333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",23,-2.67117059333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",24,-2.19795629333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",25,-1.68839269333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",26,-1.15453169333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",27,-0.648910393333338,"s1","_HLBD2_s1_1","1","2","none"
"2","4",28,-0.208199593333333,"s1","_HLBD2_s1_1","1","2","none"
"2","4",29,0.18152580666667,"s1","_HLBD2_s1_1","1","2","none"
"2","4",30,0.528173706666664,"s1","_HLBD2_s1_1","1","2","none"
"2","4",1,17.7149394466667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",2,17.4478576466667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",3,17.1443794466667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",4,16.7564159466667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",5,16.2337242466667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",6,15.6220273466667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",7,14.2822947466667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",8,12.7259920466667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",9,10.6300549466667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",10,8.15767214666667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",11,5.31696804666667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",12,2.38435384666667,"s2","_HLBD2_s2_1","1","2","none"
"2","4",13,-0.549728253333328,"s2","_HLBD2_s2_1","1","2","none"
"2","4",14,-3.31321235333333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",15,-5.84444265333333,"s2","_HLBD2_s2_1","1","2","none"
"2","4",16,-8.03968955333333,"s2","_HLBD2_s2_1","1","2","none"
